Username,Address,Rating,Comment
Hyun Jin Yim,Lake of the Restored Sword,3,"Những người bán đồ ăn vặt trên đường không thể tin tưởng được. Họ bán với giá bị đội lên gấp bốn lần so với giá gốc, ép khách mua và thậm chí bán đồ ăn hỏng. Đặc biệt là đồ ăn như bánh kẹo hay bánh mì thì tuyệt đối đừng ăn. Hãy đặt đồ ăn qua Grab thì an toan.

People who sell street snacks can’t be trusted. They inflate the prices up to four times the normal rate, pressure you into buying, and sometimes sell spoiled food. Especially snacks like cookies or bread, you should never eat them. Just order through Grab instead."
CHaoli,Lake of the Restored Sword,3,"Tớ ở nước ngoài từ nhỏ, được đi về quê mẹ ở Việt Nam ở Hà Nội. lúc đi Hồ Hoàn Kiếm, tớ thấy ở đấy phong cảnh đẹp mà người dân cũng thân thiện nhưng mà tớ gặp 1 nhóm thanh niên chỉ trỏ vào tớ còn nói lời tục tĩu nữa xong có đi qua 1 mẹ con, họ thì thầm ""tớ là con mán à..""
Dù là trải nghiệm được đi dạo, phong cảnh đẹp nhưng có lẽ tớ sẽ không về Việt Nam nữa... trừ khi về nhà mẹ."
Tam Nguyen,Lake of the Restored Sword,3,"Hồ đẹp , mát mẻ .
Nơi tụ tập của khách du lịch.
Nhưng vẫn có tí xô bồ , hàng rong nhiều ,"
Windylanll,Lake of the Restored Sword,3,"Ngoài có di tích lịch sử ra thì ở đây cũng k có gì đặc biệt, đường xá Hà Nội rất ô nhiễm khói bụi, mình cứ ngỡ sương mù nhưng đó là bụi."
nguyen huu tan,Lake of the Restored Sword,3,"Điểm tham quan đẹp khi ghé qua Hà Nội, trồng nhiều loại hoa nhưng hình như không thấy hòa quyện với bối cảnh chung. Vĩa hè bị chiếm dụng nhiều nên không gian không  còn thoáng đãng. Tệ nhất là gần bùng binh góc Đinh Tiên Hoàng và Lý Thái Tổ, kế trạm xe bus, phía sau một kios khi tôi định ra đó chụp ảnh thì ngữi thấy mùi nước tiểu thật nồng nặc!!! Xe quét rác thì thật cẫu thả, chạy qua rồi rác vẫn còn vương vãi."
Lyra Tran,Lake of the Restored Sword,3,"Bình thường, k có gì đặc biệt. Giao thông xung quanh chật chội"
Oanh Nguyen,Lake of the Restored Sword,3,"Hồ đẹp, đông đúc nhưng vẫn còn nhiều rác và cẩn thận đồ đạc cá nhân"
Bull Lee,Lake of the Restored Sword,3,"Hóng mát buổi chiều dễ chịu, mỗi tội ng dân ý thức kém xả rác rồi dắt chó ra ị bậy ko chịu hót"
Kênh Thiếu Nhi,Lake of the Restored Sword,3,"Cảnh đẹp, hồ xanh nhưng vẫn còn bẩn, còn rất nhiều người đi ăn xin."
Di Hân,Lake of the Restored Sword,3,Toạ lạc giữa thủ đô được bao bởi 3 con phố Hàng Khay - Lê Thái Tổ- Đinh Tiên Hoàng
Dat Tran,Lake of the Restored Sword,3,Hồi nhỏ thấy trong sách vở. Giờ mới được trải nhiệm.
Hiền Hòa,Lake of the Restored Sword,3,"Không gian và môi trường thoáng mát . Nhưng giá cả và các dịch vụ quá cao chặt chém. Không có bãi gửi xe. Toàn là bãi gửi xe tự phát, giá gửi xe thì trên trời. Đề nghị ban quản lý khu du lịch chỉnh đốn lại . Tôi mới đi lần đầu nhưng chưa chắc có lần sau ."
chinh nguyen,Lake of the Restored Sword,3,"Buổi chiều đi dạo thật đẹp, buổi tối mưa bị ngập hơi tiếc"
Thế Thanh,Lake of the Restored Sword,3,"Nạn chặt chém khách du lịch, 2 giá có vẻ như với họ là bình thường. Nhất là những hàng quán không niên yết giá.
Đặc biệt là giao thông rất hỗn loạn, thay vì đèn giao thông ngay vạch dừng thì họ làm đèn giao thông lớn hàng ngang bên kia đường để những người dừng đèn đỏ giữa giao lộ thấy .. nhưng vẫn vượt đèn đỏ."
Hanna,Lake of the Restored Sword,3,"Có giá trị về mặt lịch sử thôi chứ bờ hồ cũ kỹ, ẩm ướt, chật chội lắm"
